addressId-street_segId,location
907677-3866,FLORIDA AVE @ 8TH ST NE
903245-1398,19TH @ Q ST SE
902894-2349,MASSACHUSETTS AVE NW @ 18TH ST NW
901723-621,WHEELER RD & ALABAMA AVE SE
907025-4755,GA & JEFFERSON ST NW
813215-11357,2400 CHAMPLAIN ST NW
806989-5997,1200 GOOD HOPE RD SE
289235-10130,4500 BENNING RD NE
813064-11236,1800 NEW YORK AVE NE
901773-2050,NORTH PORTAL DR NW @ SPRUCE DR NW
900937-184,17 & M ST NW
804379-3781,700 BLK JEFFERSON DR SW
304574-1093,3960 MINNESOTA AVE NE
812999-11177,5000 SOUTH DAKOTA AVE NE W/B
304914-8101,1300 OTIS PL NW
904907-1371,15 & S ST NW
901665-568,13TH & DECATUR ST NW
811018-9450,2800 BLK MILITARY RD NW (W/B)
278443-1445,3900 BLK PENNSYLVANIA AVE SE SE/B
250209-2729,700 JEFFERSON ST NW
814205-12242,1800 T ST SE
814423-12430,200 12TH ST NW
800189-161,7000 GEORGIA AVE NW
812610-10838,1600 4TH ST NW
902191-4182,CONSTITUTION AVE NW @ HENRY BACON *
903722-3684,16TH & U ST NW
286572-302,200 MASSACHUSETTS AVE NE
273885-628,2500 PA AVE NW
901788-2253,ILLINOIS AVE NW @ KENNEDY ST NW
246781-7183,500 KENNEDY ST NW
906403-3774,14TH & P ST NW
804854-4188,5 T ST NW
307921-9459,2300 MARTIN LUTHER KING JR AVE SE *
902799-2204,GEORGIA AVE AND EUCLID ST NW
814870-12819,1000 BRENTWOOD RD NE
234812-5015,3600 14 ST NW
815160-13074,2400 WAGNER ST SE
902942-2438,30TH ST & M ST NW
46710-12746,2500 SOUTH DAKOTA AVE NE
905467-7256,EASTERN & RHODE ISLAND AVE NE
904132-4377,18TH & FLORIDA AVE NW
903532-3384,16TH AND E ST SE
902882-436,44TH ST NW @ BRANDYWINE ST NW
904305-5919,ARIZONA & LOUGHBORO RD NW
902506-1749,RHODE ISLAND AVE NE @ LINCOLN RD NE
913926-8124,NORTH CAPITOL ST NW @ NEW YORK AVE*
806068-5210,2000 1ST ST NW
905039-4702,14TH ST & FT STEVENS DR NW
901335-2121,13TH ST AND V ST NW
903108-2638,NY AVE & 11TH ST NW
302058-3579,2700 SOUTH CAPITOL ST SE
907873-10284,EASTERN AVE @ MONROE ST NE
904790-5396,18TH ST NE @ EVARTS ST NE
810702-9169,300 NEW YORK AVE NW
812084-10373,200 PENNSYLVANIA AVE SE
807017-6014,300 9TH ST NW
242502-,2000 K ST NW
810475-8978,1100 33RD ST NW
45366-8539,27 MICHIGAN AVE NE
242474-252,1200 NEW HAMPSHIRE AVE NW
904869-1306,SOUTHERN AVE SE @ WHEELER RD SE
902241-1184,VAN BUREN ST & BLAIR RD NW
907353-8468,R ST NW @ 13TH ST NW
803209-2667,2900 STANTON RD SE
249474-3244,300 KENNEDY ST NW
284500-8072,2800 CONNECTICUT AVE NW
805923-5074,200 WASHINGTON AVE SW
900246-8267,WEST VIRGINIA AVE @ FENWICK ST NE
905660-3141,WISCONSIN AVE NW @ M ST NW
902837-2282,TEXAS AVE SE @ C ST SE
800621-659,6700 GEORGIA AVE NW
812924-11109,1000 11TH ST NW
264444-7966,4600 WISCONSIN AVE NW
905083-6287,CENTRAL AVE SE @ 54TH ST SE
232890-11180,3100 GEORGIA AVE NW
904292-4617,K ST @ 19TH ST NW
814090-12141,3500 HOLMEAD PL NW
804689-4040,1300 MARYLAND AVE SW
902979-2493,EASTERN AVE NE @ KANSAS AVE NE
905720-1302,ALBEMARLE ST NW @ 43RD ST NW
905489-763,IRVING ST NW @ 14TH ST NW
28381-7993,4000 MARTIN LUTHER KING JR AVE SW *
900928-12207,POTOMAC AV AND 19TH ST SE
906285-3943,3RD & H ST NE
806481-5570,500 OKLAHOMA AVE NE
903618-2254,9TH & HAMILTON ST NW
151194-4763,900 H ST NE
907273-1211,KANSAS & TAYLOR ST NW
906965-158,S/B 17TH ST @ INDEPENDENCE AVE SW
900665-8207,V ST & 2ND STREET SW
906132-4952,35TH & BLADENSBURG RD NE
906846-3340,5TH ST NW @ JEFFERSON ST NW
904077-3894,13TH ST AND U ST NW
903415-3025,4TH ST SE @ CHESAPEAKE ST SE
907802-10485,7TH AT NEW YORK AVE NW
240250-2222,1100 BLK VERMONT AVE NW
906506-1084,22ND & BUNKER HILL RD NE
279592-10279,2430 PENNSYLVANIA AVE NW
902757-1554,2ND ST NE @ HAWAII AVE NE
242317-,1315 16 ST NW
