location,address_id,streetsegid,xcoord,ycoord,lat,long,ticket_type,accident_indicator,agency_id,issue_date,issue_time,violation_code,violation_desc
1000 PEABODY ST NW,802249,1867,397666.23,143865.97,38.96262691102093,-77.0260374176118,MOVING,0,4,2016-02-19,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
S ST NW @ 20TH ST NW,907042,1717,396108.25001034,138470.45314993,38.914092000000004,-77.04489149999999,MOVING,0,2,2016-02-01,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1600 CONSTITUTION AVE NW,813879,11955,396702.39,136028.77,38.8920225657006,-77.0335664342994,MOVING,0,2,2016-02-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
900 NEW YORK AVE W/B NW,308003,7725,397883.05,137073.99,38.90151900000001,-77.0244075,MOVING,0,3,2016-02-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1300 H ST NE,286021,10010,401030.77,136948.92,38.900394000000006,-76.9881195,MOVING,0,1,2016-02-05,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1400 9TH ST NW,225413,9610,397904.83,137882.65,38.90880899999999,-77.02416,MOVING,0,3,2016-02-18,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
100 1ST ST NW,806083,5223,398944.05,135957.13,38.8921353894528,-77.0122293894528,MOVING,0,23,2016-02-10,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
JENIFFER ST AT WISCONSIN AVE NW,904416,4712,392646.21000713,143462.78003456,38.95903799999999,-77.0848515,MOVING,0,2,2016-02-18,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
ALABAMA AVE & 32 PL SE,904185,4480,403428.65001714,132666.07000855,38.861802000000004,-76.960494,MOVING,0,25,2016-02-17,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
6TH ST NE @ ORLEANS PL NE,906076,8624,400135.07001408,137456.81999699,38.90495699999999,-76.998438,MOVING,0,1,2016-02-19,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
